File Name,Average Pixel Value
3E(1).bmp,3.62903076171875
4E(5).bmp,3.31374755859375
5E(4).bmp,2.22633056640625
1E(6).bmp,10.99341064453125
5E(8).bmp,1.89900146484375
4E(8).bmp,2.45609375
1E(7).bmp,13.89873046875
5E(5).bmp,2.7586279296875
2E(1).bmp,6.78222900390625
4E(4).bmp,2.79369140625
3E(7).bmp,4.50560791015625
4E(3).bmp,3.915322265625
2E(6).bmp,4.58402587890625
5E(2).bmp,1.6268310546875
1E(1).bmp,11.53807373046875
5E(3).bmp,2.54135986328125
2E(7).bmp,6.16576171875
4E(2).bmp,2.97030029296875
3E(6).bmp,4.07615234375
2E(8).bmp,6.62177978515625
1E(2).bmp,12.5551708984375
2E(4).bmp,5.88757080078125
4E(1).bmp,2.02102294921875
3E(5).bmp,3.1846435546875
3E(4).bmp,5.6058154296875
2E(5).bmp,4.8711328125
5E(1).bmp,1.538193359375
1E(3).bmp,10.4576806640625
3E(8).bmp,5.95608154296875
1E(4).bmp,9.41864501953125
5E(6).bmp,1.57099365234375
2E(2).bmp,8.35130126953125
4E(7).bmp,3.489052734375
3E(3).bmp,4.12347412109375
3E(2).bmp,5.74581298828125
4E(6).bmp,4.80202880859375
2E(3).bmp,7.1944287109375
5E(7).bmp,1.15330078125
1E(5).bmp,12.8122509765625
