File Name,Average Pixel Value
2C(6).bmp,15.02301513671875
3E(1).bmp,6.2580224609375
4E(5).bmp,8.64638671875
2A(7).bmp,6.6054296875
2A(6).bmp,4.91274169921875
2E(1).bmp,21.981884765625
4E(4).bmp,9.0780029296875
2C(7).bmp,11.89505126953125
3E(7).bmp,17.986181640625
4E(3).bmp,7.9071875
2E(6).bmp,21.52412109375
2A(1).bmp,8.1078369140625
2E(7).bmp,33.2940380859375
4E(2).bmp,9.393837890625
3E(6).bmp,14.9191552734375
2C(1).bmp,12.82585205078125
2E(8).bmp,22.97349853515625
2A(3).bmp,15.355185546875
2E(4).bmp,16.54061279296875
4E(1).bmp,7.33349365234375
3E(5).bmp,13.56401123046875
2C(2).bmp,9.22269775390625
2C(3).bmp,16.227626953125
3E(4).bmp,15.22530029296875
2E(5).bmp,29.68546875
2A(2).bmp,9.78065185546875
3E(8).bmp,14.09139404296875
2A(5).bmp,6.59794189453125
2E(2).bmp,13.581904296875
4E(7).bmp,11.364150390625
3E(3).bmp,15.12230224609375
2C(4).bmp,15.352294921875
2C(8).bmp,18.01473876953125
2A(8).bmp,6.1351220703125
2C(5).bmp,15.647236328125
3E(2).bmp,11.82013427734375
4E(6).bmp,10.28578857421875
2E(3).bmp,12.64892578125
2A(4).bmp,3.895751953125
